标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
,257,,,,,,钱和人，老板总会要一个的。,,,,,,,,,,
,258,,阿宝,,阿福-阿宝-阿宝说话,,老板应该都想要吧？,,,,,,,,,,
,259,,姜韶平,姜韶平-委屈,,,我真搞不懂……陈姐为什么会这样对我。,,,,,,,,,,
,260,,阿宝,空,阿福-阿宝-阿宝说话,,因为，你很有才呀。,,,,,,,,,,
,261,,,,,,才能是最不可预估的东西，所以老板会想从源头上买断它。,,,,,,,,,,
,262,,姜韶平,姜韶平-委屈,,,在这种情景下被夸奖完全高兴不起来……,,,,,,,,,,
,263,,阿福,空,阿福-阿宝-阿福说话,,哈哈！没事的，跟着咱老板干虽然得24小时待命，但收入不差，办公环境好，业界地位还高。,,,,,,,,,,
,264,,,,,,你要是签了，我们以后就是同事了。,,,,,,,,,,
,265,,阿宝,,阿福-阿宝-阿宝说话,,多多指教啦~,,,,,,,,,,
,266,,,,,,对了，这个，老板给的。,,,,,,,,,,
,267,,旁白,,,,阿宝递给你一个黑壳绿心的小盒子。,,,,,,,,,,
,268,,姜韶平,姜韶平-尴尬,,,传呼机……吗，这是给我的？,,,CG渐出,,,,,,,
,269,,阿宝,空,阿福-阿宝-阿宝说话,空,这样你出门在外也可以随时收到老板的讯息了。,,,,,,,,,,
,270,,姜韶平,姜韶平-惊讶,,,那不就是要我随时随地接收催债信息吗？！,,,,,,,,,,
,271,,阿福,空,阿福-阿宝-阿福说话,,说不准你忽然在外面回心转意了呢。,,,,,,,,,,
,272,,,,,,你就拿着吧，这玩意儿可是高级货，不便宜。,,,,,,,,,,
,273,,,,,,那就这样，我们也该下班了。再见。,,,,,,,,,,
,274,,阿宝,,阿福-阿宝-阿宝说话,,拜拜~,,,,,,,,,,
,275,,旁白,,空,,二人就这样转身回了电梯间。,,,正渐出,,,,,,,
,276,,,,,,你思索着最好不要再见，离开了大厦。,,,背立绘渐出,,,,,,,
,277,场景-房间,,空,空,,回到家，你仔细研究了一宿陈姐的契据。,,,场景渐入,,,,,,,
,278,,,,,,那完完全全是一份“卖身契”，一旦签署，将买断你未来二十年的所有产出，签是不可能签的。,,,,,,,,,,
,279,,,,,,可就算你有钱请律师，从合约内容上也看不出什么破绽。一想到以陈姐的财力和人脉能聘请到的法律团队，你就暂时先断了通过法律维权的念想。,,,,,,,,,,
,280,,,,,,这样一来，在目前的情况下，唯一还能让你行动起来，有那么一丝希望的选项就是——,,,音乐结束+镜头重置,,,,,,,
,281,,,,,,——还债吧，在三个月内！,,,,,,,,,,
,282,,,,,黑屏,,,,场景弹窗,,,,,,,
,283,,,,,,,END,,关闭页面,,,,,,,
,,1,,,,,,,,,,,,,,,
