标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
,255,,姜韶平,姜韶平-委屈,,,在这种情景下被夸奖完全高兴不起来……,,,,,,,,,,
,256,,阿福,空,阿福-阿宝-阿福说话,,哈哈！没事的，跟着咱老板干虽然得24小时待命，但收入不差，办公环境好，业界地位还高。,,,,,,,,,,
,257,,,,,,你要是签了，我们以后就是同事了。,,,,,,,,,,
,258,,阿宝,,阿福-阿宝-阿宝说话,,多多指教啦~,,,,,,,,,,
,259,,,,,,对了，这个，老板给的。,,,,,,,,,,
,260,,旁白,,,,阿宝递给你一个黑壳绿心的小盒子。,,,,,,,,,,
,261,,姜韶平,姜韶平-尴尬,,,传呼机……吗，这是给我的？,,,CG渐出,,,,,,,
,262,,阿宝,空,阿福-阿宝-阿宝说话,空,这样你出门在外也可以随时收到老板的讯息了。,,,,,,,,,,
,263,,姜韶平,姜韶平-惊讶,,,那不就是要我随时随地接收催债信息吗？！,,,,,,,,,,
,264,,阿福,空,阿福-阿宝-阿福说话,,说不准你忽然在外面回心转意了呢。,,,,,,,,,,
,265,,,,,,你就拿着吧，这玩意可是高级货，不便宜。,,,,,,,,,,
,266,,,,,,那就这样，我们也该下班了。再见。,,,,,,,,,,
,267,,阿宝,,阿福-阿宝-阿宝说话,,拜拜~,,,,,,,,,,
,268,,旁白,,空,,二人就这样转身回了电梯间。,,,正渐出,,,,,,,
,269,,,,,,你思索着最好不要再见，离开了大厦。,,,背立绘渐出,,,,,,,
,270,场景-小平房间,,空,空,,你回到家，仔细研究了一宿陈姐的契据。,,,场景渐入,,,,,,,
,271,,,,,,那完完全全是一份“卖身契”，一旦签署，将买断你未来二十年的所有产出，签是不可能签的。,,,,,,,,,,
,272,,,,,,可就算你有钱请律师，从合约内容上也看不出什么破绽，只能怪当时的自己没有仔细检查。一想到以陈姐的财力能聘请到的法律团队，你就先断了用法律维权的方式。,,,,,,,,,,
,273,,,,,,那么，现在唯一还能让你行动起来，有那么一丝希望的选择就是——,,,音乐结束+镜头重置,,,,,,,
,274,,,,,,——还债吧，在三个月内！,,,,,,,,,,
,275,,,,,黑屏,,,,场景弹窗,,,,,,,
,276,,,,,,,END,,关闭页面,,,,,,,
,,1,,,,,,,,,,,,,,,
