标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
,267,,姜韶平,姜韶平-思考,,,唔……,,,,,,,,,,
,268,,旁白,空,空,,“锦绣前程”的号码是1号。,,,正渐出,,,,,,,
&,269,,,,,,买1号,272,,中,,,,,,,
&,270,,,,,,买其他号,275,,中,,,,,,,
#,271,,姜韶平,姜韶平-默认,,,嗯，我就押1号吧。,,,,夏伦好感度,2,,,,,
,272,,,姜韶平-眯眼笑,,,我相信小夏的眼光。,,,,,,,,,,
,273,,夏伦,空,夏伦-马服-大笑,,哈哈哈。我也赞同你的眼光。,281,,正立绘渐入,,,,,,,
#,274,,空,空,空,,买其他号,,,,,,,,,,
&,275,,空,空,空,,2号,279,,中,,,,,,,
&,276,,,,,,4号,280,,中,,,,,,,
&,277,,,,,,11号,280,,中,,,,,,,
#,278,,姜韶平,姜韶平-默认,,,那就这样吧。碰碰运气。,281,,,现金,2000,,,,,
,279,,姜韶平,姜韶平-默认,,,那就这样吧。碰碰运气。,,,,,,,,,,
,280,,旁白,空,,,投注员撕下一张从机器顶端吐出的票据递给你，便出去了。,,小票,正渐出,夏伦好感度,1,,,,,
,281,,投注员,空,,空,祝两位手风顺。,289,,正渐出,,,,,,,
,282,,旁白,空,,,从小所受的教育还是让你对赌博这种行为有些芥蒂。,,,,,,,,,,
,283,,姜韶平,姜韶平-无奈笑,,,我还是算了吧……小夏玩得开心就好。,,,,,,,,,,
,284,,夏伦,空,夏伦-马服-挑眉,,哦？我怎么记得你以前可没这么乖的。,,,,,,,,,,
,285,,姜韶平,姜韶平-眯眼笑,,,哈哈，也没有吧……,,,,,,,,,,
,286,,旁白,空,空,,服务人员撕下一张从机器顶端吐出的票据递给夏伦，便出去了。,,小票,正渐出,,,,,,,
,287,,投注员,空,空,,祝老板手风顺。,289,,正渐出,,,,,,,
,288,,旁白,空,,,你们坐在靠窗的沙发上，此时一支红色制服的乐队正在绿地上演奏开幕曲，悠扬的风笛声传到你们这的时候，微弱得像来自远方的呼喊。,,,,,,,,,,
,289,,,,,,这对你来说倒是很新奇。,,,,,,,,,,
,290,,姜韶平,姜韶平-欣慰,,,说起来，原来小夏还喜欢赛马呀……之前怎么没听你提过。,,,,,,,,,,
,291,,夏伦,空,夏伦-马服-闭眼,,也就回国后这段时间开始玩的。,,,正立绘渐入,,,,,,,
,292,,,,夏伦-马服-平淡,,这里的会员可难进了，每年限额，还得人引荐。,,,,,,,,,,
,293,,,,,,我也是从引荐人手里高价买下这匹“锦绣前程”，才能这么快入会的。,,,,,,,,,,
,294,,旁白,,空,,随口就道出你无法想象的世界。,,,正渐出,,,,,,,
,295,,,,,,大学时，你倒也对一些流传甚广的阴谋论有所耳闻——关于马会、银行和督府共同统治这座城市的传闻。,,,,,,,,,,
,296,,,,,,你向来深知你们之间的阶级差距，只是夏伦以往很少表露出如此明显的痕迹。,,,,,,,,,,
,297,,,,,,夏伦正兴致勃勃地看着赛场，你却感觉她今天比以往多了些……浮躁。,,,,,,,,,,
,298,场景-赛马场,,,,,乐队表演结束，赛马们陆续上场。,,,,,,,,,,
,299,,夏伦,夏伦-马服-开朗-头像,,,快看，“锦绣前程”上场了。,,,,,,,,,,
,300,,旁白,空,,,一组赛马排成单列，由练马师牵引着绕场亮相。场地中央站着一群衣着光鲜、互相交谈着的人，听夏伦说那些人都是本场比赛的马主。,,,,,,,,,,
,301,,,,,,你们原本也该在那里的。,,,,,,,,,,
,302,,,,,,“锦绣前程”是领头的那匹，它通体枣红，皮毛锃亮，昂着头，步伐从容地绕着场地踱步。修剪整齐的鬃毛随着步伐轻扬，肌肉线条如水波般在皮肤下起伏。,,,,,,,,,,
,303,,,,,,何等美丽的生物啊。,,,,,,,,,,
,304,,姜韶平,姜韶平-兴奋,,,好漂亮……忽然有点理解为什么大家这么爱看赛马了。,,,,,,,,,,
,305,场景-赛马会包厢,夏伦,空,夏伦-马服-开朗,,哈哈哈， 那大部分人应该都没你这么纯粹。,,,正立绘渐入+,,,,,,,
,306,,姜韶平,姜韶平-疑问-无问号,,,是吗？那小夏是为什么喜欢赛马呢？,,,,,,,,,,
,307,,夏伦,空,夏伦-马服-平淡,,…你觉得马代表着什么？,,,音乐淡出,,,,,,,
,308,,姜韶平,姜韶平-思考,,,……自由？,,,,,,,,,,
,309,,夏伦,空,夏伦-马服-闭眼,,所有人都以为自己这么觉得。,,,,,,,,,,
,310,,,,夏伦-马服-平淡,,可是你看，它们每一匹都戴着那个滑稽的面罩。马的视野太广，戴上面罩能让它们保持专注。它们只被允许看向前方。,,,,,,,,,,
,311,,,,夏伦-马服-移开目光-说话,,马跑起来的样子给人一种自由的幻觉，但其实不过是在既定的赛道里绕圈而已，一千米还是两千米，没什么区别。,,,,,,,,,,
,312,,,,,,它们身上的缰绳、面罩、负重……不都恰恰是自由的反义词吗？,,,,,,,,,,
,313,,,,夏伦-马服-挑眉,,你不觉得很讽刺吗？正是这种地方，才是我觉得最有趣的。,,,,,,,,,,
,314,,旁白,,,,她的语气中充满了讥讽，像在讲一个早就看穿了的笑话。,,,,,,,,,,
,315,,姜韶平,姜韶平-思考,,,嗯，我理解你说的……,,,,,,,,,,
,316,,,,,,嗯，我理解你说的……可这项运动，本来也是建立在马的天性之上的吧。,,,,,,,,,,
,317,,,,,,奔跑对它们来说是本能，赛马不过是将这种本能发挥到了极致。如果马不是这样生性喜欢奔跑的动物，眼前这一切也就无从谈起了。,,,,,,,,,,
,318,,夏伦,空,夏伦-马服-惊讶,,小平，你比我想得还要乐观。,,,,,,,,,,
,319,,,,夏伦-马服-默认,,可马这种动物，若不是人类豢养，在野外早就快灭绝了。,,,,,,,,,,
,320,,,,,,它们的天性之所以得以保留，不过是因为人类需要它。如果它们不跑，那就没有存在的意义了。,,,,,,,,,,
,321,,,,夏伦-马服-挑眉,,到现在，像我这样的人每年交着昂贵的会费，花着大把的钱保养马匹，说到底，不过是多一条社交的路子，再让它们跑起来给赌徒当筹码罢了。,,,,,,,,,,
,322,,旁白,,空,,这时，队列里有一匹黑马停住了脚步，不停地甩头。,,,正渐出,,,,,,,
,323,,,,,,这时，队列里有一匹黑马停住了脚步，不停地甩头。练马师死死拽着缰绳，想把它压住，那马却猛地撂起前蹄，周围顿时乱作一团。,,,,,,,,,,
,324,,,,,,又跑来两个人，合力才把那匹黑马制住。但经此一出，周围几匹马也跟着躁动起来。,,,,,,,,,,
,325,,姜韶平,姜韶平-无奈笑,,,或许是你说的那样……我对赛马的了解还是太少了。,,,,,,,,,,
,326,,,姜韶平-苦笑,,,我只是没想到你的看法是这样的。,,,,,,,,,,
,327,,夏伦,空,夏伦-马服-闭眼,,……,,,正立绘渐入,,,,,,,
,328,,,,夏伦-马服-移开目光-说话,,这很正常，毕竟我们都五六年没见了嘛。,,,,,,,,,,
,329,,旁白,,空,,五六年。,,,正渐出,,,,,,,
,330,,,,,,五六年。你在心里默默算了一下，发现这个数字比你意识到的还要长。,,,,,,,,,,
,331,,,,,,再会后，你们聊了很多，但基本是工作和中学的事，偏偏没有聊过这五六年间的事。,,,,,,,,,,
,332,,,,,,你们用一种奇怪的默契跳过了彼此不在场的那些年，假装重逢不需要任何交代。,,,,,,,,,,
,333,,姜韶平,姜韶平-苦笑,,,嗯……也是。,,,,,,,,,,
,334,,旁白,空,,,要开始了。,,,,,,,,,,
,335,,,,,,绕场一圈后，赛马们都陆续进了栅栏，正等待起跑。,,,,,,,,,,
,336,,,,,,刚还喧嚣的看台也稀稀拉拉地安静了下来，所有人屏住呼吸，视线聚集在一处。,,,,,,,,,,
,337,,,,,,——,,,,,,,,,,
,338,场景-赛马比赛,,,,,闸门骤然开启，十四匹马倾泻而出。,,赛马开始,结局开始,,,,,,,
,339,,,,,,看台瞬间爆发出震耳的欢呼，声波令脚下的地板都跟着颤动了一下。,,,,,,,,,,
,340,,,,,,最初的几百米，马群还挤在一处，蹄声密集得像一场暴雨，扬起的沙尘在蹄间翻腾。,,欢呼,音效循环,,,,,,,
,341,,,,,,骑师们伏低身子，鲜艳的赛服在马背上起伏。,,,,,,,,,,
,342,,,,,,广播里的解说声不间断地流淌出来。,,,,,,,,,,
,343,,,,,,“……领跑的是四号‘山河无恙’，紧随其后的是十一号‘万里云烟’，目前处于第三位的是今日备受关注的一号‘锦绣前程’——”,,,结局翻页,,,,,,,
,344,,,,,,你找到那抹枣红色的身影。,,,,,,,,,,
,345,,,,,,“——它出自英格兰的明星马场，家族血脉可追溯至六十年代的传奇名驹……三代皆是赛场上的常胜之师。今日是它首次出战两千米长途赛，它的赔率已经来到了——”,,,,,,,,,,
,346,,,,,,^隔着那么远的距离，你仍能感受到马儿们跑动时那种沛然的力量。步幅舒展而匀称，鬃毛在风里翻飞，皮毛在阳光下泛着近乎灼热的光泽，活像一幅跑起来的画。,,,,,,,,,,
,347,,,,,,进入第二个弯道，马群开始拉开距离。“锦绣前程”从第三位悄悄压上来，从第二名的左侧超出半个身位。,,,结局翻页,,,,,,,
,348,,,,,,“……‘锦绣前程’开始发力！目前并列第二——”,,,,,,,,,,
,349,,,,,,你屏住了呼吸，哪怕完全不懂规则，也不由得被深深吸引。,,,,,,,,,,
,350,,,,,,身旁的夏伦也不自觉前倾了身子。,,,,,,,,,,
,351,,,,,,最后五百米，领跑的马开始显出疲态，枣红色的身影陡然从马群间拔出，向前冲去。,,,结局翻页,,,,,,,
,352,,,,,,“……‘锦绣前程’强势追上，领先半个马身——”,,,,,,,,,,
,353,,,,,,看台的欢呼声拔高了一个音阶，有人在喊它的名字，广播里的解说也越来越激昂。,,,,,,,,,,
,354,,,,,,你攥紧了拳头，看着它冲在最前方，骑师完全没有挥鞭，一切的动作都是它自发的。,,,,,,,,,,
,355,,,,,,^^那一刻，你更加确信了——它们就是为此刻而生的。,,,,,,,,,,
,356,,,,,,难怪夏伦说这会给人自由的幻觉。,,,,,,,,,,
,357,,,,,,就在这时——,,,结局翻页,,,,,,,
,358,,,,,,一匹黑马。,,,,,,,,,,
,359,,,,,,是上场前那匹躁动的黑马，它一路被压在中段，此刻突然斜着冲了出来。,,,,,,,,,,
,360,,,,,,是上场前那匹躁动的黑马，它一路被压在中段，此刻突然斜着冲了出来。骑师拼命拽紧缰绳，才没有与“锦绣前程”发生碰撞。,,,,,,,,,,
,361,,,,,,但不知是受到惊吓还是体力耗尽，“锦绣前程”的前腿一软，整个身子朝前栽去，巨大的惯性让它在沙地上滚了半圈，骑师被甩了出去。,,,,,,,,,,
,362,,,,,,看台上的欢呼声在那一瞬间凝固，随即变成一片哗然。,,,音效淡出,,,,,,,
,363,场景-赛马会包厢,姜韶平,姜韶平-错愕,,空,！！,,,结局翻页结束++画面抖动,,,,,,,
,364,,夏伦,空,夏伦-马服-震惊,,——！,,,正立绘渐入,,,,,,,
,365,,旁白,,,,你吓得站了起来，夏伦也支起身，你扶住她，两人紧贴着玻璃，想要看清究竟发生了什么。,,,,,,,,,,
,366,,,,空,,“锦绣前程”拼命挣扎着想要站起来。,,,正渐出,,,,,,,
,367,,,,,,“锦绣前程”拼命挣扎着想要站起来。其他的马无情地从它身边飞驰而过，它却只能在原地痛苦地踱着步，朝着终点伸长脖子，鼻翼不断扇动，似乎还想要继续比赛。,,,,,,,,,,
,368,,,,,,骑手瘸着回到它的身边，不停地抚着它的脖子。,,,,,,,,,,
,369,,,,,,工作人员开着小车赶了过来，很快在马的周围架起了屏风。,,,,,,,,,,
,370,,,,,,胜利者窃窃地享受着喜悦，所有人都只能发出惋惜的嘘声。,,,,,,,,,,
,371,,姜韶平,姜韶平-呆滞,,,小、小夏……,,,,,,,,,,
,372,,旁白,空,夏伦-无高光-1,,你百般担忧地看向夏伦，却发现她的脸上正浮现出一种怪异而扭曲的笑。,,,正立绘渐入,,,,,,,
,373,,夏伦,,,,……哈、哈哈……,,,,,,,,,,
,374,,姜韶平,姜韶平-慌乱,,,小夏，你没事吧…？,,,,,,,,,,
,375,,旁白,空,,,你忍不住把她攥得紧了些。,,,,,,,,,,
,376,,,,,,她摇摇头。,,,,,,,,,,
,377,,夏伦,,夏伦-马服-无高光,,没什么……赛马受伤是常有的事。人没事就好。,,,,,,,,,,
,378,,,,夏伦-马服-自嘲,,我知道……本来就是这样昙花一现的……,,,,,,,,,,
,379,,旁白,,空,,她的声音很低，低到哪怕你此时此刻就站在她身边，也无法听清全貌。,,,正渐出,,,,,,,
,380,,,,,,你想起她房间里无声播放的电影，想起她似有若无地回避的话题，想起她今天反常的浮躁，以及你们都心照不宣忽略的一个问题,,,,,,,,,,
,381,,,,,,你想起她房间里无声播放的电影，想起她似有若无地回避的话题，想起她今天反常的浮躁，以及你们都心照不宣忽略的一个问题——那样的伤，对于一个演员来说，意味着什么？,,,,,,,,,,
,382,,,,,,那匹枣红色的马又浮现在你眼前。,,,,,,,,,,
,383,,,,,,它倒在沙地上，拼命想要站起来，终点就在前方，其实它应该已经知道自己跑不到那里了吧？,,,,,,,,,,
,384,,,,,,你不能再顺着她了。,,,,,,,,,,
,385,,,,,,你斟酌着开口。,,,,,,,,,,
,386,,姜韶平,姜韶平-严肃,,,不是这样的……小夏，听我说。,,,,,,,,,,
,387,,,姜韶平-严肃-右下侧目,,,看了刚才的比赛，我现在终于理解了，赛马和舞台剧其实是一样的。,,,,,,,,,,
,388,,,,,,我写剧本，有时候会觉得……文字这种东西，是被时间凝固的。,,,,,,,,,,
,389,,,,,,我写剧本，有时候会觉得……文字这种东西，是被时间凝固的。我写下来的那一刻，它就已经是过去了，放在那里等人来读，等人来演。,,,,,,,,,,
,390,,,姜韶平-严肃,,,可只有你站上台的时候，它才活了过来。,,,,,,,,,,
,391,,,,,,那是只属于那一刻的东西。台下的人屏着呼吸，感受到的触动是真实的。,,,,,,,,,,
,392,,,,,,哪怕台上演绎的是虚构的故事，哪怕奔跑的赛马终究跑不出赛道，但在那一刻，那种自由的幻觉是真实发生过的，就够了。,,,,,,,,,,
,393,,,,,,所以我想回答你刚才的看法……,,,,,,,,,,
,394,,,姜韶平-无奈笑,,,所以我想回答你刚才的看法……不是马需要赛道，而是赛道是为马而建的。也不是马需要骑手，而是骑手为了让它奔跑才存在的。,,,,,,,,,,
,395,,,,,,今天坐在这里的所有人，都是因为想看它跑起来，才会聚集在这里。,,,,,,,,,,
,396,,,,,,这是属于它的舞台。这个舞台本身就代表着它的意义。,,,,,,,,,,
,397,,旁白,空,,,你直盯着夏伦的眼睛，而她沉默了很长一段时间。,,,,,,,,,,
,398,,,,,,赛场上，屏风还未撤去。,,,,,,,,,,
,399,,,,,,良久，她才开口。,,,,,,,,,,
,400,,夏伦,,夏伦-马服-闭眼-说话,,我发现……你真的挺会安慰人的，小平。,,,正立绘渐入,,,,,,,
,401,,姜韶平,姜韶平-无奈笑,,,我说的都是真心话啦。,,,,,,,,,,
,402,,,,,,如果这能让你感觉好点……,,,,,,,,,,
,403,,空,空,空,,,,急切敲门,正渐出,,,,,,,
,404,,旁白,,,,忽然有人急促地敲门，你们对视了一下。,,,,,,,,,,
,405,,,,,,门打开，走进来一个神情凝重的人。,,开门,音效淡出,,,,,,,
,406,,,,,,直觉让你不想听到接下来的话。,,,,,,,,,,
,407,,练马师,,,,夏老板……,,,,,,,,,,
,408,,,,,,夏老板……“锦绣前程”前掌粉碎性骨折……,,,,,,,,,,
,409,,,,,,夏老板……“锦绣前程”前掌粉碎性骨折……兽医的判断是……,,,,,,,,,,
,410,,,,,,……现场，执行安乐……,,,,,,,,,,
,411,,姜韶平,姜韶平-呆滞,,,…………,,,,,,,,,,
,412,,,姜韶平-呆滞-张嘴,,,…………啊？,,,,,,,,,,
,413,,旁白,空,,,呼吸紧得难受。,,,,,,,,,,
,414,,,,,,下方的运输车已经到位，在屏风的遮挡下，没人能看到正在发生什么。,,,,,,,,,,
,415,,练马师,,,,真的非常……抱歉。,,,,,,,,,,
,416,,夏伦,,夏伦-马服-无高光-1,,…………,,,正立绘渐入,,,,,,,
,417,,,,夏伦-马服-无高光,,我知道了。,,,,,,,,,,
,418,,旁白,,,,夏伦挥了挥手，练马师退了出去，轻轻带过了门。,,,,,,,,,,
,419,,姜韶平,姜韶平-呆滞-张嘴,,,为、为什么……怎么会这样？,,,,,,,,,,
,420,,,姜韶平-咬牙,,,……难道就一点办法都没有吗？,,,,,,,,,,
,421,,夏伦,空,夏伦-马服-自嘲,,呵…,,,音乐渐入,,,,,,,伦妈压迫感
,422,,,,夏伦-马服-崩溃笑,,哈哈……,,,,,,,,,,
,423,,,,,,——哈哈哈哈哈哈哈哈！！！,,,,,,,,,,
,424,,姜韶平,姜韶平-慌乱,空,,小夏——小夏！,,,正渐出,,,,,,,
,425,,旁白,空,,,夏伦失控的情绪着实吓到了你，你急切地摇着她的肩膀，想让她清醒点。,,,,,,,,,,
,426,,夏伦,,夏伦-马服-自嘲,,你还是这么天真啊……小平。,,,正立绘渐入,,,,,,,
,427,,空,,空,CG-夏伦抓小平手,,,,CG渐入+镜头偏移焦点3+镜头渐变特写100+升格上移,,,,,,,
,428,,旁白,,,,她抓住你的手，将它带向自己贴着纱布的那半边脸。你想缩回去，却发现她的手劲比你大得多。,,,,,,,,,,
,429,,夏伦,,,,来，你今天不是一直想知道这里怎么样了吗？,,,,,,,,,,
,430,,旁白,,,,你的手背被她扣住，在纱布上摩挲着、摩挲着，你能感受到纱布下的温度和凹凸不平的触感。,,,,,,,,,,
,431,,,,,,然后，她的指尖从你的指间穿过，一点点将纱布撕了下来——,,,,,,,,,,
,432,,,,,CG-夏伦揭伤疤,——那是一道狰狞的、正结痂的红色裂痕，纱布扯着边缘的皮肉向外翻，表层细小的血珠重新渗了出来，顺着她的颧骨缓缓滑落。,,耳鸣,CG渐入+升格重置+镜头渐变特写0+镜头偏移50,,,,,,,
,433,,夏伦,,,,……这就是你说的天性啊，小平。,,,镜头缓慢放大+镜头缓慢偏移焦点6,,,,,,,
,434,,,,,,马无法忍受不能跑的生活，一旦骨折，就没法治了。,,,,,,,,,,
,435,,,,,,不能跑的马……就只能死了啊。,,,,,,,,,,
,436,,旁白,,,,那一刻，你的脑海中闪过一个念头。,,,,,,,,,,
,437,,,,,,难道眼前这地狱般的景象，都是你选择背离“母亲”所遭的报应吗。,,,,,,,,,,
,438,黑屏,空,,,黑屏,,,,CG渐入+镜头重置+音乐淡出+自动转场,,,,,,,
,439,空,,,,CG-收音机,……,,电流音,CG渐入,,,,,,,
,440,,旁白,,,,敲了两下，收音机又勉强恢复了工作。,,广播,音效中止,,,,,,,
,441,,,,,,你慢慢调着频率。大多数频道都在播着毫不相干的事情，只有一个体育频道提到今天赛马场发生的意外事故，马迷们自发地为那匹不幸的赛马举办了追悼会。,,,,,,,,,,
,442,,,,,,随后，播音员接上了篮球赛事的转播。,,,,,,,,,,
,443,,,,,,兴许是马会出手压下来了吧。,,,,,,,,,,
,444,场景-房间,,,,空,你把收音机音量调低，在椅子上坐了很久。,,,#NAME?,,,,,,,
,445,,姜韶平,,,,（唉……）,,,,,,,,,,
,446,,旁白,,,,你起身，走到书架前，在那尊小小的圣母像前停下来。,,衣服摩挲,,,,,,,,
,447,,,,,,她的眼帘一如既往地低垂着。你在她面前站了一会儿，缓缓闭上眼睛，双手交握。,,,音效中止,,,,,,,
,448,,,,,,…………,,,,,,,,,,
,449,黑屏,,,,黑屏,随着闭目祷告，你的记忆逐渐回溯……,,,CG渐入+自动转场,,,,,,,
,450,,旁白,,,,8点钟，车准时在外面等候。,,,,,,,,,,
,451,,,,,,夏伦任你扶着，少见地一言不发。,,,,,,,,,,
,452,,,,,,你们从专属通道出来，只有一小段建筑底部架空的落客区，车就停在几步之遥的地方。,,,,,,,,,,
,453,,,,,,在夏伦的拐杖触上地面的那刻——,,,,,,,,,,
,454,,,,,,————,,快门,闪光灯,,,,,,,
,455,空,,,,CG-狗仔,一阵强光在你的视野内炸开，顿时闪得你大脑一片空白。随后更多闪光灯和快门声朝你们劈头盖脸地砸了过来。,,快门连拍,CG渐入,,,,,,,
,456,,工作人员,,,,——滚！滚开！,,,,,,,,,,
,457,,旁白,,,,身后的工作人员愤怒地吼叫着，向侧面跑去，你瞬间意识到发生了什么——那么短的时间，那么短的距离，居然还是被抓到了。,,多人脚步,,,,,,,,
,458,,,,,,你想也没想，勾住夏伦的肩膀，把她往你怀里压，同时侧过身子，用背挡在那些镜头和她之间。,,,音效淡出,,,,,,,
,459,,,,,,快门声在你耳后密集地响，有人喊着夏伦的名字——夏伦！夏伦！你觉得今天的事是天意吗！你是否和你母亲一样考虑隐退？,,快门连拍,,,,,,,,
,460,,,,,,有人在推你，你听到自己怒吼的声音。,,快门连拍,,,,,,,,
,461,,,,,,你紧闭着眼睛，死死将她护住，你感到她走得踉跄，却不挣扎。你们一步一步往车门的方向挤过去。,,快门连拍,,,,,,,,
,462,,,,,,在工作人员的掩护下，你们终于钻进了车。,,,#NAME?,,,,,,,
,463,,,,,黑屏,门关上，车子立刻启动，还有人妄图透过车窗捕捉到一两张照片，幸好你进了车也没放开过她。,,重关车门+汽车启动,CG渐入,,,,,,,
,464,,空,,,,,,车子行进,音效循环+自动转场,,,,,,,
,465,场景-夏伦-车内,旁白,,,空,车冲出地下，闪光灯和快门声还像魅影般跟着你。,,,,,,,,,,
,466,,,,,,你喘着气，心有余悸地朝后方看了一眼，确认没车跟上后，才慢慢放松下来。,,,,,,,,,,
,467,,,,,,车厢里安静而昏暗，路灯的光一下下从车窗外扫进来，有些炫目，你眯起眼。,,,,,,,,,,
,468,,,,,,夏伦斜靠在你肩上，散落的发丝遮住了她的眼睛，侧脸上的那道疤在光影里一明一暗。,,,,,,,,,,
,469,,,,,,不知过了多久，你听见她轻轻笑了声。,,,,,,,,,,
,470,,夏伦,夏伦-马服-黑脸-头像,,,抱歉……小平。,,,,,,,,,,
,471,,,,,,……你还会来找我的吧？,,,,,,,,,,
,472,,旁白,空,,,你把她环得更紧了些。身体接触的地方，几乎感受不到温度。,,,,,,,,,,
,473,,姜韶平,姜韶平-严肃-闭眼,,,……当然。,,,,,,,,,,
,474,,旁白,空,,,你在心底默祷着，想起了许多封尘在记忆中的事情。,,,,,,,,,,
,475,黑屏,空,,,黑屏,,,,CG渐入+音效淡出+自动转场,,,,,,,
,476,,,,,,,END,,关闭页面,,,,,,,
